20/04/2018 11:15:04 BST
PING 45.221.77.2 (45.221.77.2) 56(84) bytes of data.
64 bytes from 116.90.239.10: icmp_seq=13 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=14 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=15 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=16 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=17 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=18 ttl=46 time=312 ms
64 bytes from 116.90.239.10: icmp_seq=19 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=20 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=21 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=22 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=23 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=24 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=25 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=26 ttl=46 time=312 ms
64 bytes from 116.90.239.10: icmp_seq=27 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=28 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=29 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=30 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=31 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=32 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=33 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=34 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=35 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=36 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=37 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=38 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=39 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=40 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=41 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=42 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=43 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=44 ttl=46 time=312 ms
64 bytes from 116.90.239.10: icmp_seq=45 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=46 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=47 ttl=46 time=315 ms
64 bytes from 116.90.239.10: icmp_seq=48 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=49 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=50 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=51 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=52 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=53 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=54 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=55 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=56 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=57 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=58 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=59 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=60 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=61 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=62 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=63 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=64 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=65 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=66 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=67 ttl=46 time=462 ms
64 bytes from 116.90.239.10: icmp_seq=68 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=69 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=70 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=71 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=72 ttl=46 time=312 ms
64 bytes from 116.90.239.10: icmp_seq=73 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=74 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=75 ttl=46 time=310 ms
