Date, Host, Packet loss, min, avg, max, mdev
21/04/2018 12:47:18 BST, 178.33.235.187,  0%, 194.457, 195.454, 197.259, 0.834
21/04/2018 12:49:17 BST, 101.100.209.220,  26%, 291.937, 295.758, 298.360, 1.868
21/04/2018 12:51:17 BST, 116.12.51.45,  0%, 6.464, 6.583, 6.915, 0.144
21/04/2018 12:53:16 BST, 188.42.162.69,  0%, 175.332, 176.742, 189.824, 2.700
21/04/2018 12:55:16 BST, 116.12.51.45,  0%, 197.767, 198.337, 200.409, 0.640
21/04/2018 12:57:16 BST, 180.92.193.10,  0%, 244.035, 245.483, 271.294, 3.047
21/04/2018 18:19:04 BST, 104.20.72.23,  0%, 166.796, 171.485, 548.287, 34.741
21/04/2018 18:21:03 BST, 202.78.202.70,  0%, 259.450, 313.494, 325.970, 22.101
21/04/2018 18:25:12 BST, 200.170.94.6,  0%, 243.376, 245.669, 248.039, 1.420
21/04/2018 18:27:11 BST, 45.221.77.2,  0%, 226.845, 229.026, 230.268, 1.091
21/04/2018 18:29:11 BST, 116.90.239.10,  0%, 245.799, 246.583, 247.771, 0.842
21/04/2018 18:31:10 BST, 41.72.99.143,  52%, 128.576, 184.003, 187.113, 9.959
21/04/2018 18:33:10 BST, 163.43.24.70,  0%, 94.649, 141.261, 153.106, 21.571
21/04/2018 18:35:10 BST, 133.130.35.170,  0%, 204.031, 249.738, 263.045, 18.313
21/04/2018 18:37:10 BST, 103.242.31.11,  0%, 117.788, 169.601, 174.963, 9.638
21/04/2018 18:39:09 BST, 103.75.188.168,  58%, 10.387, 10.612, 11.431, 0.175
21/04/2018 18:41:09 BST, 107.190.134.163,  0%, 266.001, 266.888, 270.475, 0.715
21/04/2018 18:43:09 BST, 103.241.150.190,  0%, 192.142, 194.394, 198.284, 0.946
21/04/2018 18:45:09 BST, 112.137.166.236,  0%, 12.091, 12.346, 13.178, 0.187
21/04/2018 18:47:08 BST, 178.33.235.187,  0%, 192.159, 194.214, 197.704, 1.155
21/04/2018 18:49:07 BST, 101.100.209.220,  45%, 238.598, 284.420, 296.552, 22.262
21/04/2018 18:51:08 BST, 116.12.51.45,  0%, 6.519, 6.639, 8.286, 0.186
21/04/2018 18:53:07 BST, 188.42.162.69,  0%, 117.292, 165.702, 188.887, 23.421
21/04/2018 18:55:06 BST, 116.12.51.45,  0%, 198.544, 199.650, 202.910, 0.631
21/04/2018 18:57:06 BST, 180.92.193.10,  0%, 243.425, 247.716, 268.769, 3.609
22/04/2018 00:19:05 BST, 104.20.72.23,  0%, 140.996, 164.015, 178.391, 7.882
22/04/2018 00:21:05 BST, 202.78.202.70,  0%, 321.560, 322.962, 323.861, 0.899
22/04/2018 00:25:14 BST, 200.170.94.6,  0%, 219.194, 240.597, 245.541, 9.346
22/04/2018 00:27:13 BST, 45.221.77.2,  0%, 199.805, 223.059, 263.899, 11.385
22/04/2018 00:29:13 BST, 116.90.239.10,  0%, 243.866, 244.989, 245.640, 0.840
22/04/2018 00:31:12 BST, 41.72.99.143,  4%, 183.008, 184.369, 186.406, 0.633
22/04/2018 00:33:12 BST, 163.43.24.70,  0%, 149.952, 150.731, 153.127, 0.501
22/04/2018 00:35:11 BST, 133.130.35.170,  0%, 254.750, 255.520, 257.993, 0.590
22/04/2018 00:37:11 BST, 103.242.31.11,  0%, 170.015, 170.751, 181.999, 1.328
22/04/2018 00:39:10 BST, 103.75.188.168,  54%, 10.422, 10.544, 10.868, 0.147
22/04/2018 00:41:10 BST, 107.190.134.163,  0%, 263.888, 265.254, 271.557, 0.971
22/04/2018 00:43:10 BST, 103.241.150.190,  0%, 166.845, 192.522, 194.785, 4.648
22/04/2018 00:45:09 BST, 112.137.166.236,  0%, 12.138, 12.307, 12.723, 0.172
22/04/2018 00:47:08 BST, 178.33.235.187,  0%, 162.767, 187.821, 195.204, 11.445
22/04/2018 00:49:07 BST, 101.100.209.220,  45%, 292.043, 293.608, 294.305, 0.851
22/04/2018 00:51:08 BST, 116.12.51.45,  0%, 6.441, 6.606, 13.089, 0.601
